112 -03.85627619 -032.42796317 -03.85620113 -032.42795800
113 -03.85621290 -032.42858591
111 -03.85623813 -032.42849709
112 -03.85636550 -032.42850940 -03.85637519 -032.42850681
111 -03.85637325 -032.42852106
112 -03.85636873 -032.42858651 -03.85636873 -032.42859558
111 -03.85635580 -032.42859688
113 -03.85623489 -032.42858781
111 -03.85624096 -032.42842835
112 -03.85636380 -032.42843742 -03.85637350 -032.42843677
111 -03.85637932 -032.42844520
112 -03.85637867 -032.42847112 -03.85637932 -032.42847630
111 -03.85636574 -032.42847889
113 -03.85623773 -032.42846853
111 -03.85625001 -032.42831365
112 -03.85637156 -032.42832272 -03.85638320 -032.42832272
111 -03.85638579 -032.42833439
112 -03.85638061 -032.42839919 -03.85637997 -032.42840956
111 -03.85636445 -032.42840956
113 -03.85624031 -032.42839724
111 -03.85625650 -032.42820064
112 -03.85637676 -032.42820647 -03.85639034 -032.42820647
111 -03.85639293 -032.42821943
112 -03.85638969 -032.42828553 -03.85638905 -032.42829719
111 -03.85637288 -032.42829460
113 -03.85625069 -032.42828682
111 -03.85626094 -032.42814599
112 -03.85639743 -032.42815318 -03.85640641 -032.42815318
112 -03.85640417 -032.42816669 -03.85640372 -032.42816939
111 -03.85639429 -032.42816849
113 -03.85625915 -032.42815949
110 1 0.00 5.0000 New Taxiway 77
111 -03.85653675 -032.42755750
111 -03.85644808 -032.42755041
111 -03.85643491 -032.42784095
113 -03.85652364 -032.42784874
110 3 0.25 95.0000 New Taxiway 29
111 -03.85622424 -032.42872861
111 -03.85631497 -032.42873054
112 -03.85638368 -032.42865515 -03.85639140 -032.42857968
111 -03.85641336 -032.42814783
113 -03.85626664 -032.42813428
110 1 0.25 5.0000 New Taxiway 44
111 -03.85620560 -032.42905783
111 -03.85631013 -032.42906386
111 -03.85631429 -032.42894015
111 -03.85638759 -032.42894473
111 -03.85630883 -032.42914256
111 -03.85644834 -032.42919830
111 -03.85656429 -032.42890676
111 -03.85640782 -032.42889658
111 -03.85641676 -032.42874653
111 -03.85659775 -032.42876220
111 -03.85660334 -032.42867822
111 -03.85657094 -032.42866926
111 -03.85657541 -032.42860208
111 -03.85654524 -032.42859760
111 -03.85654413 -032.42863903
113 -03.85623130 -032.42861999
110 2 0.00 57.0000 New Taxiway 78
111 -03.85534999 -032.42751651
111 -03.85631804 -032.42691461
111 -03.85617818 -032.42671107
111 -03.85601922 -032.42681827
111 -03.85608002 -032.42691385
112 -03.85607628 -032.42694940 -03.85605948 -032.42695408
111 -03.85603428 -032.42698308
112 -03.85601747 -032.42702612 -03.85599881 -032.42703360
113 -03.85525845 -032.42748786
110 1 0.00 5.0000 New Taxiway 93
111 -03.85668421 -032.42817500
111 -03.85668421 -032.42814771
111 -03.85673289 -032.42814806
111 -03.85673754 -032.42795796
111 -03.85670837 -032.42790078
111 -03.85668438 -032.42789299
113 -03.85667213 -032.42817360
130 Airport Boundary
111 -03.85304998 -032.43323499
111 -03.85328489 -032.43368307
111 -03.85410326 -032.43373624
111 -03.85439121 -032.43336410
111 -03.85445183 -032.43195908
111 -03.85658869 -032.42883767
111 -03.85677055 -032.42852628
111 -03.85683875 -032.42706810
111 -03.85705092 -032.42668836
111 -03.85592187 -032.42565549
111 -03.85554299 -032.42484285
111 -03.85531567 -032.42327835
111 -03.85570212 -032.41704310
111 -03.85683117 -032.41625325
111 -03.85628559 -032.41473432
111 -03.85632348 -032.41346600
111 -03.85439878 -032.41319259
111 -03.85328489 -032.42728072
111 -03.85268626 -032.42740223
111 -03.85242105 -032.42989328
113 -03.85319396 -032.43153373
120 Linear Feature 83
111 -03.85619408 -032.42830493 20
115 -03.85619558 -032.42827855
120 Linear Feature 83
111 -03.85620658 -032.42830649 20
115 -03.85620809 -032.42828012
120 Linear Feature 83
111 -03.85622048 -032.42830802 20
115 -03.85622198 -032.42828164
120 Linear Feature 83
111 -03.85623589 -032.42830910 20
115 -03.85623740 -032.42828273
120 Linear Feature 83
111 -03.85625152 -032.42831106 20
115 -03.85625303 -032.42828469
120 Linear Feature 83
111 -03.85626520 -032.42831259 20
115 -03.85626670 -032.42828621
120 Linear Feature 83
111 -03.85628094 -032.42831494 20
115 -03.85628244 -032.42828857
120 Linear Feature 83
111 -03.85629650 -032.42831621 20
115 -03.85629800 -032.42828984
120 Linear Feature 83
111 -03.85631206 -032.42831766 20
115 -03.85631356 -032.42829129
120 Linear Feature 83
111 -03.85632577 -032.42831902 20
115 -03.85632728 -032.42829265
120 Linear Feature 83
111 -03.85633995 -032.42832008 20
115 -03.85634145 -032.42829371
120 Linear Feature 83
111 -03.85635351 -032.42832084 20
115 -03.85635502 -032.42829446
120 Linear Feature 83
111 -03.85636507 -032.42832197 20
115 -03.85636657 -032.42829560
120 Linear Feature 83
111 -03.85639723 -032.42832398 20
115 -03.85639874 -032.42829761
120 Linear Feature 83
111 -03.85638643 -032.42832348 20
115 -03.85638793 -032.42829711
120 Linear Feature 83
111 -03.85637600 -032.42832285 20
115 -03.85637750 -032.42829648
120 Linear Feature 83
111 -03.85619419 -032.42830495 20
115 -03.85619569 -032.42827858
120 Linear Feature 83
111 -03.85620670 -032.42830652 20
115 -03.85620820 -032.42828014
120 Linear Feature 83
111 -03.85622059 -032.42830804 20
115 -03.85622209 -032.42828167
120 Linear Feature 83
111 -03.85623600 -032.42830913 20
115 -03.85623751 -032.42828275
120 Linear Feature 83
111 -03.85625163 -032.42831108 20
115 -03.85625314 -032.42828471
120 Linear Feature 83
111 -03.85626531 -032.42831261 20
115 -03.85626681 -032.42828623
120 Linear Feature 83
111 -03.85628105 -032.42831496 20
115 -03.85628255 -032.42828859
120 Linear Feature 83
111 -03.85629661 -032.42831623 20
115 -03.85629811 -032.42828986
120 Linear Feature 83
111 -03.85631217 -032.42831769 20
115 -03.85631367 -032.42829131
120 Linear Feature 83
111 -03.85632589 -032.42831905 20
115 -03.85632739 -032.42829267
120 Linear Feature 83
111 -03.85634006 -032.42832010 20
115 -03.85634156 -032.42829373
120 Linear Feature 83
111 -03.85635363 -032.42832086 20
115 -03.85635513 -032.42829448
120 Linear Feature 83
111 -03.85636518 -032.42832199 20
115 -03.85636668 -032.42829562
120 Linear Feature 83
111 -03.85639735 -032.42832401 20
115 -03.85639885 -032.42829763
120 Linear Feature 83
111 -03.85638654 -032.42832350 20
115 -03.85638804 -032.42829713
120 Linear Feature 83
111 -03.85637611 -032.42832287 20
115 -03.85637762 -032.42829650
120 Linear Feature 83
111 -03.85619428 -032.42830493 20
115 -03.85619578 -032.42827856
120 Linear Feature 83
111 -03.85620678 -032.42830650 20
115 -03.85620829 -032.42828013
120 Linear Feature 83
111 -03.85622068 -032.42830802 20
115 -03.85622218 -032.42828165
120 Linear Feature 83
111 -03.85623609 -032.42830911 20
115 -03.85623759 -032.42828274
120 Linear Feature 83
111 -03.85625172 -032.42831107 20
115 -03.85625323 -032.42828470
120 Linear Feature 83
111 -03.85626540 -032.42831259 20
115 -03.85626690 -032.42828622
120 Linear Feature 83
111 -03.85628114 -032.42831495 20
115 -03.85628264 -032.42828858
120 Linear Feature 83
111 -03.85629670 -032.42831622 20
115 -03.85629820 -032.42828984
120 Linear Feature 83
111 -03.85631226 -032.42831767 20
115 -03.85631376 -032.42829130
120 Linear Feature 83
111 -03.85632597 -032.42831903 20
115 -03.85632748 -032.42829266
120 Linear Feature 83
111 -03.85634014 -032.42832009 20
115 -03.85634165 -032.42829371
120 Linear Feature 83
111 -03.85635371 -032.42832084 20
115 -03.85635521 -032.42829447
120 Linear Feature 83
111 -03.85636527 -032.42832198 20
115 -03.85636677 -032.42829560
120 Linear Feature 83
111 -03.85639743 -032.42832399 20
115 -03.85639894 -032.42829762
120 Linear Feature 83
111 -03.85638663 -032.42832349 20
115 -03.85638813 -032.42829711
120 Linear Feature 83
111 -03.85637620 -032.42832286 20
115 -03.85637770 -032.42829648
120 Linear Feature 83
111 -03.85619437 -032.42830494 20
115 -03.85619588 -032.42827857
120 Linear Feature 83
111 -03.85620688 -032.42830651 20
115 -03.85620838 -032.42828013
120 Linear Feature 83
111 -03.85622077 -032.42830803 20
115 -03.85622227 -032.42828166
120 Linear Feature 83
111 -03.85623619 -032.42830912 20
115 -03.85623769 -032.42828274
120 Linear Feature 83
111 -03.85625181 -032.42831108 20
115 -03.85625332 -032.42828470
120 Linear Feature 83
111 -03.85626549 -032.42831260 20
115 -03.85626699 -032.42828623
120 Linear Feature 83
111 -03.85628123 -032.42831496 20
115 -03.85628273 -032.42828858
120 Linear Feature 83
111 -03.85629679 -032.42831623 20
115 -03.85629829 -032.42828985
120 Linear Feature 83
111 -03.85631235 -032.42831768 20
115 -03.85631385 -032.42829130
120 Linear Feature 83
111 -03.85632607 -032.42831904 20
115 -03.85632757 -032.42829266
120 Linear Feature 83
111 -03.85634024 -032.42832010 20
115 -03.85634174 -032.42829372
120 Linear Feature 83
111 -03.85635381 -032.42832085 20
115 -03.85635531 -032.42829448
120 Linear Feature 83
111 -03.85636536 -032.42832198 20
115 -03.85636687 -032.42829561
120 Linear Feature 83
111 -03.85639753 -032.42832400 20
115 -03.85639903 -032.42829762
120 Linear Feature 83
111 -03.85638672 -032.42832350 20
115 -03.85638822 -032.42829712
120 Linear Feature 83
111 -03.85637629 -032.42832287 20
115 -03.85637780 -032.42829649
120 Linear Feature 83
111 -03.85619448 -032.42830497 20
115 -03.85619598 -032.42827859
120 Linear Feature 83
111 -03.85620698 -032.42830653 20
115 -03.85620848 -032.42828016
120 Linear Feature 83
111 -03.85622088 -032.42830806 20
115 -03.85622238 -032.42828168
120 Linear Feature 83
111 -03.85623629 -032.42830914 20
115 -03.85623779 -032.42828277
120 Linear Feature 83
111 -03.85625192 -032.42831110 20
115 -03.85625342 -032.42828472
120 Linear Feature 83
111 -03.85626560 -032.42831262 20
115 -03.85626710 -032.42828625
120 Linear Feature 83
111 -03.85628133 -032.42831498 20
115 -03.85628284 -032.42828860
120 Linear Feature 83
111 -03.85629689 -032.42831625 20
115 -03.85629840 -032.42828987
120 Linear Feature 83
111 -03.85631245 -032.42831770 20
115 -03.85631395 -032.42829132
120 Linear Feature 83
111 -03.85632617 -032.42831906 20
115 -03.85632767 -032.42829269
120 Linear Feature 83
111 -03.85634034 -032.42832012 20
115 -03.85634184 -032.42829374
120 Linear Feature 83
111 -03.85635391 -032.42832087 20
115 -03.85635541 -032.42829450
120 Linear Feature 83
111 -03.85636547 -032.42832201 20
115 -03.85636697 -032.42829563
120 Linear Feature 83
111 -03.85639763 -032.42832402 20
115 -03.85639913 -032.42829765
120 Linear Feature 83
111 -03.85638683 -032.42832352 20
115 -03.85638833 -032.42829714
120 Linear Feature 83
111 -03.85637640 -032.42832289 20
115 -03.85637790 -032.42829651
120 Linear Feature 83
111 -03.85619457 -032.42830497 20
115 -03.85619607 -032.42827859
120 Linear Feature 83
111 -03.85620707 -032.42830653 20
115 -03.85620858 -032.42828016
120 Linear Feature 83
111 -03.85622097 -032.42830806 20
115 -03.85622247 -032.42828168
120 Linear Feature 83
111 -03.85623638 -032.42830914 20
115 -03.85623788 -032.42828277
120 Linear Feature 83
111 -03.85625201 -032.42831110 20
115 -03.85625351 -032.42828472
120 Linear Feature 83
111 -03.85626569 -032.42831262 20
115 -03.85626719 -032.42828625
120 Linear Feature 83
111 -03.85628143 -032.42831498 20
115 -03.85628293 -032.42828860
120 Linear Feature 83
111 -03.85629698 -032.42831625 20
115 -03.85629849 -032.42828987
120 Linear Feature 83
111 -03.85631254 -032.42831770 20
115 -03.85631404 -032.42829132
120 Linear Feature 83
111 -03.85632626 -032.42831906 20
115 -03.85632776 -032.42829269
120 Linear Feature 83
111 -03.85634043 -032.42832012 20
115 -03.85634194 -032.42829374
120 Linear Feature 83
111 -03.85635400 -032.42832087 20
115 -03.85635550 -032.42829450
120 Linear Feature 83
111 -03.85636556 -032.42832201 20
115 -03.85636706 -032.42829563
120 Linear Feature 83
111 -03.85639772 -032.42832402 20
115 -03.85639922 -032.42829765
120 Linear Feature 83
111 -03.85638692 -032.42832352 20
115 -03.85638842 -032.42829714
120 Linear Feature 83
111 -03.85637649 -032.42832289 20
115 -03.85637799 -032.42829651
120 Linear Feature 83
111 -03.85619466 -032.42830497 20
115 -03.85619616 -032.42827859
120 Linear Feature 83
111 -03.85620716 -032.42830653 20
115 -03.85620867 -032.42828016
120 Linear Feature 83
111 -03.85622106 -032.42830806 20
115 -03.85622256 -032.42828168
120 Linear Feature 83
111 -03.85623647 -032.42830914 20
115 -03.85623797 -032.42828277
120 Linear Feature 83
111 -03.85625210 -032.42831110 20
115 -03.85625360 -032.42828472
120 Linear Feature 83
111 -03.85626578 -032.42831263 20
115 -03.85626728 -032.42828625
120 Linear Feature 83
111 -03.85628152 -032.42831498 20
115 -03.85628302 -032.42828860
120 Linear Feature 83
111 -03.85629708 -032.42831625 20
115 -03.85629858 -032.42828987
120 Linear Feature 83
111 -03.85631263 -032.42831770 20
115 -03.85631414 -032.42829132
120 Linear Feature 83
111 -03.85632635 -032.42831906 20
115 -03.85632786 -032.42829268
120 Linear Feature 83
111 -03.85634052 -032.42832012 20
115 -03.85634203 -032.42829374
120 Linear Feature 83
111 -03.85635409 -032.42832088 20
115 -03.85635559 -032.42829450
120 Linear Feature 83
111 -03.85636565 -032.42832201 20
115 -03.85636715 -032.42829563
120 Linear Feature 83
111 -03.85639781 -032.42832402 20
115 -03.85639931 -032.42829765
120 Linear Feature 83
111 -03.85638701 -032.42832352 20
115 -03.85638851 -032.42829714
120 Linear Feature 83
111 -03.85637658 -032.42832289 20
115 -03.85637808 -032.42829651
120 Linear Feature 83
111 -03.85619477 -032.42830501 20
115 -03.85619627 -032.42827864
120 Linear Feature 83
111 -03.85620728 -032.42830658 20
115 -03.85620878 -032.42828020
120 Linear Feature 83
111 -03.85622117 -032.42830810 20
115 -03.85622267 -032.42828172
120 Linear Feature 83
111 -03.85623658 -032.42830919 20
115 -03.85623809 -032.42828281
120 Linear Feature 83
111 -03.85625221 -032.42831115 20
115 -03.85625372 -032.42828477
120 Linear Feature 83
111 -03.85626589 -032.42831267 20
115 -03.85626739 -032.42828629
120 Linear Feature 83
111 -03.85628163 -032.42831503 20
115 -03.85628313 -032.42828865
120 Linear Feature 83
111 -03.85629719 -032.42831630 20
115 -03.85629869 -032.42828992
120 Linear Feature 83
111 -03.85631275 -032.42831775 20
115 -03.85631425 -032.42829137
120 Linear Feature 83
111 -03.85632647 -032.42831911 20
115 -03.85632797 -032.42829273
120 Linear Feature 83
111 -03.85634064 -032.42832017 20
115 -03.85634214 -032.42829379
120 Linear Feature 83
111 -03.85635420 -032.42832092 20
115 -03.85635571 -032.42829455
120 Linear Feature 83
111 -03.85636576 -032.42832206 20
115 -03.85636726 -032.42829568
120 Linear Feature 83
111 -03.85639792 -032.42832407 20
115 -03.85639943 -032.42829769
120 Linear Feature 83
111 -03.85638712 -032.42832357 20
115 -03.85638862 -032.42829719
120 Linear Feature 83
111 -03.85637669 -032.42832294 20
115 -03.85637820 -032.42829656
120 Linear Feature 83
111 -03.85619488 -032.42830504 20
115 -03.85619639 -032.42827866
120 Linear Feature 83
111 -03.85620739 -032.42830660 20
115 -03.85620889 -032.42828022
120 Linear Feature 83
111 -03.85622128 -032.42830813 20
115 -03.85622278 -032.42828175
120 Linear Feature 83
111 -03.85623670 -032.42830921 20
115 -03.85623820 -032.42828283
120 Linear Feature 83
111 -03.85625232 -032.42831117 20
115 -03.85625383 -032.42828479
120 Linear Feature 83
111 -03.85626600 -032.42831270 20
115 -03.85626750 -032.42828632
120 Linear Feature 83
111 -03.85628174 -032.42831505 20
115 -03.85628324 -032.42828867
120 Linear Feature 83
111 -03.85629730 -032.42831632 20
115 -03.85629880 -032.42828994
120 Linear Feature 83
111 -03.85631286 -032.42831777 20
115 -03.85631436 -032.42829139
120 Linear Feature 83
111 -03.85632658 -032.42831913 20
115 -03.85632808 -032.42829275
120 Linear Feature 83
111 -03.85634075 -032.42832019 20
115 -03.85634225 -032.42829381
120 Linear Feature 83
111 -03.85635432 -032.42832095 20
115 -03.85635582 -032.42829457
120 Linear Feature 83
111 -03.85636587 -032.42832208 20
115 -03.85636738 -032.42829570
120 Linear Feature 83
111 -03.85639803 -032.42832409 20
115 -03.85639954 -032.42829771
120 Linear Feature 83
111 -03.85638723 -032.42832359 20
115 -03.85638873 -032.42829721
120 Linear Feature 83
111 -03.85637680 -032.42832296 20
115 -03.85637831 -032.42829658
120 Linear Feature 83
111 -03.85619497 -032.42830502 20
115 -03.85619647 -032.42827864
120 Linear Feature 83
111 -03.85620748 -032.42830659 20
115 -03.85620898 -032.42828021
120 Linear Feature 83
111 -03.85622137 -032.42830811 20
115 -03.85622287 -032.42828173
120 Linear Feature 83
111 -03.85623678 -032.42830920 20
115 -03.85623829 -032.42828282
120 Linear Feature 83
111 -03.85625241 -032.42831116 20
115 -03.85625392 -032.42828478
120 Linear Feature 83
111 -03.85626609 -032.42831268 20
115 -03.85626759 -032.42828630
120 Linear Feature 83
111 -03.85628183 -032.42831504 20
115 -03.85628333 -032.42828866
120 Linear Feature 83
111 -03.85629739 -032.42831631 20
115 -03.85629889 -032.42828993
120 Linear Feature 83
111 -03.85631295 -032.42831776 20
115 -03.85631445 -032.42829138
120 Linear Feature 83
111 -03.85632667 -032.42831912 20
115 -03.85632817 -032.42829274
120 Linear Feature 83
111 -03.85634084 -032.42832018 20
115 -03.85634234 -032.42829379
120 Linear Feature 83
111 -03.85635440 -032.42832093 20
115 -03.85635591 -032.42829455
120 Linear Feature 83
111 -03.85636596 -032.42832206 20
115 -03.85636746 -032.42829568
120 Linear Feature 83
111 -03.85639812 -032.42832408 20
115 -03.85639963 -032.42829770
120 Linear Feature 83
111 -03.85638732 -032.42832358 20
115 -03.85638882 -032.42829719
120 Linear Feature 83
111 -03.85637689 -032.42832294 20
115 -03.85637840 -032.42829656
120 Linear Feature 83
111 -03.85619506 -032.42830503 20
115 -03.85619657 -032.42827865
120 Linear Feature 83
111 -03.85620757 -032.42830660 20
115 -03.85620907 -032.42828021
120 Linear Feature 83
111 -03.85622146 -032.42830812 20
115 -03.85622297 -032.42828174
120 Linear Feature 83
111 -03.85623688 -032.42830921 20
115 -03.85623838 -032.42828282
120 Linear Feature 83
111 -03.85625251 -032.42831117 20
115 -03.85625401 -032.42828478
120 Linear Feature 83
111 -03.85626618 -032.42831269 20
115 -03.85626769 -032.42828631
120 Linear Feature 83
111 -03.85628192 -032.42831505 20
115 -03.85628343 -032.42828866
120 Linear Feature 83
111 -03.85629748 -032.42831632 20
115 -03.85629898 -032.42828993
120 Linear Feature 83
111 -03.85631304 -032.42831777 20
115 -03.85631454 -032.42829138
120 Linear Feature 83
111 -03.85632676 -032.42831913 20
115 -03.85632826 -032.42829274
120 Linear Feature 83
111 -03.85634093 -032.42832018 20
115 -03.85634243 -032.42829380
120 Linear Feature 83
111 -03.85635450 -032.42832094 20
115 -03.85635600 -032.42829456
120 Linear Feature 83
111 -03.85636606 -032.42832207 20
115 -03.85636756 -032.42829569
120 Linear Feature 83
111 -03.85639822 -032.42832409 20
115 -03.85639972 -032.42829770
120 Linear Feature 83
111 -03.85638741 -032.42832358 20
115 -03.85638892 -032.42829720
120 Linear Feature 83
111 -03.85637698 -032.42832295 20
115 -03.85637849 -032.42829657
120 Linear Feature 83
111 -03.85619517 -032.42830505 20
115 -03.85619667 -032.42827867
120 Linear Feature 83
111 -03.85620767 -032.42830662 20
115 -03.85620918 -032.42828024
120 Linear Feature 83
111 -03.85622157 -032.42830814 20
115 -03.85622307 -032.42828176
120 Linear Feature 83
111 -03.85623698 -032.42830923 20
115 -03.85623848 -032.42828285
120 Linear Feature 83
111 -03.85625261 -032.42831119 20
115 -03.85625411 -032.42828481
120 Linear Feature 83
111 -03.85626629 -032.42831271 20
115 -03.85626779 -032.42828633
120 Linear Feature 83
111 -03.85628203 -032.42831507 20
115 -03.85628353 -032.42828869
120 Linear Feature 83
111 -03.85629758 -032.42831634 20
115 -03.85629909 -032.42828995
120 Linear Feature 83
111 -03.85631314 -032.42831779 20
115 -03.85631464 -032.42829141
120 Linear Feature 83
111 -03.85632686 -032.42831915 20
115 -03.85632836 -032.42829277
120 Linear Feature 83
111 -03.85634103 -032.42832021 20
115 -03.85634254 -032.42829382
120 Linear Feature 83
111 -03.85635460 -032.42832096 20
115 -03.85635610 -032.42829458
120 Linear Feature 83
111 -03.85636616 -032.42832210 20
115 -03.85636766 -032.42829571
120 Linear Feature 83
111 -03.85639832 -032.42832411 20
115 -03.85639982 -032.42829773
120 Linear Feature 83
111 -03.85638752 -032.42832361 20
115 -03.85638902 -032.42829722
120 Linear Feature 83
111 -03.85637709 -032.42832298 20
115 -03.85637859 -032.42829659
120 Linear Feature 83
111 -03.85619526 -032.42830505 20
115 -03.85619676 -032.42827867
120 Linear Feature 83
111 -03.85620776 -032.42830662 20
115 -03.85620927 -032.42828024
120 Linear Feature 83
111 -03.85622166 -032.42830814 20
115 -03.85622316 -032.42828176
120 Linear Feature 83
111 -03.85623707 -032.42830923 20
115 -03.85623857 -032.42828285
120 Linear Feature 83
111 -03.85625270 -032.42831119 20
115 -03.85625420 -032.42828481
120 Linear Feature 83
111 -03.85626638 -032.42831271 20
115 -03.85626788 -032.42828633
120 Linear Feature 83
111 -03.85628212 -032.42831507 20
115 -03.85628362 -032.42828869
120 Linear Feature 83
111 -03.85629768 -032.42831634 20
115 -03.85629918 -032.42828995
120 Linear Feature 83
111 -03.85631323 -032.42831779 20
115 -03.85631474 -032.42829141
120 Linear Feature 83
111 -03.85632695 -032.42831915 20
115 -03.85632845 -032.42829277
120 Linear Feature 83
111 -03.85634112 -032.42832021 20
115 -03.85634263 -032.42829382
120 Linear Feature 83
111 -03.85635469 -032.42832096 20
115 -03.85635619 -032.42829458
120 Linear Feature 83
111 -03.85636625 -032.42832210 20
115 -03.85636775 -032.42829571
120 Linear Feature 83
111 -03.85639841 -032.42832411 20
115 -03.85639991 -032.42829773
120 Linear Feature 83
111 -03.85638761 -032.42832361 20
115 -03.85638911 -032.42829722
120 Linear Feature 83
111 -03.85637718 -032.42832298 20
115 -03.85637868 -032.42829659
120 Linear Feature 83
111 -03.85619535 -032.42830506 20
115 -03.85619685 -032.42827867
120 Linear Feature 83
111 -03.85620785 -032.42830662 20
115 -03.85620936 -032.42828024
120 Linear Feature 83
111 -03.85622175 -032.42830815 20
115 -03.85622325 -032.42828176
120 Linear Feature 83
111 -03.85623716 -032.42830923 20
115 -03.85623866 -032.42828285
120 Linear Feature 83
111 -03.85625279 -032.42831119 20
115 -03.85625429 -032.42828480
120 Linear Feature 83
111 -03.85626647 -032.42831271 20
115 -03.85626797 -032.42828633
120 Linear Feature 83
111 -03.85628221 -032.42831507 20
115 -03.85628371 -032.42828869
120 Linear Feature 83
111 -03.85629777 -032.42831634 20
115 -03.85629927 -032.42828995
120 Linear Feature 83
111 -03.85631332 -032.42831779 20
115 -03.85631483 -032.42829141
120 Linear Feature 83
111 -03.85632704 -032.42831915 20
115 -03.85632855 -032.42829277
120 Linear Feature 83
